;Volumenes;Capitulos;Status;AÃ±o;Generos;Temas;Demografia;Editorial;Autor;Lectores
296; Unknown; Unknown; Publishing; Nov  24, 2015 to ?;['Boys Love', 'Slice of Life'];['Childcare'];;"
Omegaverse Project";"
Ichikawa, Ichi (Story & Art)"; 7,656
297; 1; 7; Finished; Apr  29, 2020 to Feb  10, 2021;['Boys Love', 'Drama'];['Memoir'];;"
Bunshun Online";"
Tsukizuki, Yoshi (Art), Nanasaki, Ryousuke (Story)"; 8,384
298; 21; 127; Finished; Apr  25, 2002 to Aug  25, 2016;['Comedy', 'Drama', 'Slice of Life'];['Otaku Culture', 'School'];['Seinen'];"
Afternoon";"
Kio, Shimoku (Story & Art)"; 42,862
299; 10; 66; Finished; Mar  28, 2002 to Jun  27, 2009;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];;['Josei'];"
Comic ZERO-SUM";"
Minekura, Kazuya (Story & Art)"; 8,878
300; 15; 123; Finished; Nov  12, 2002 to Jul  12, 2013;['Drama', 'Romance'];['School'];['Seinen'];"
Comic Beam";"
Shimura, Takako (Story & Art)"; 31,022
301; 18; 127; Finished; Sep  25, 1997 to Jun  25, 2008;['Action', 'Drama', 'Sci-Fi', 'Suspense'];['Gore', 'Psychological'];['Seinen'];"
Afternoon";"
Endo, Hiroki (Story & Art)"; 65,798
302; 35; 178; Finished; Oct  13, 2001 to May  27, 2017;['Action', 'Adventure', 'Award Winning', 'Drama', 'Horror', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense'];['Psychological', 'Survival'];['Shoujo'];"
Flowers (Monthly)";"
Tamura, Yumi (Story & Art)"; 26,136
303; 27; 82; Finished; Aug  20, 2003 to May  20, 2012;['Adventure', 'Boys Love', 'Fantasy'];['Isekai'];['Shoujo'];"
Ichiraci";"
Sugiura, Shiho (Story & Art)"; 9,537
304; 12; 108; Finished;  1990 to  1995;['Drama', 'Suspense'];['Detective', 'Organized Crime'];['Seinen'];"
Big Comic Superior";"
Ikegami, Ryouichi (Art), Buronson (Story)"; 36,662
305; 8; 36; Finished; Jul  13, 2004 to Sep  13, 2007;['Drama', 'Romance'];['Love Polygon', 'Showbiz'];['Shoujo'];"
Bessatsu Margaret";"
Kamio, Yoko (Story & Art)"; 35,125
306; 2; 28; Finished; Jun  30, 2005 to Apr  6, 2006;['Drama', 'Slice of Life'];;['Seinen'];"
Young Sunday (Weekly)";"
Asano, Inio (Story & Art)"; 127,819
307; 9; 69; Finished; Not available;['Action'];['Mecha'];['Shounen'];"
    None";"
Ishikawa, Ken (Story & Art)"; 2,886
308; 12; 212; Finished; Aug  9, 2014 to Jul  11, 2018;['Comedy', 'Romance'];['School'];['Shounen'];"
Shounen Magazine (Weekly)";"
Wakabayashi, Toshiya (Story & Art)"; 60,913
309; 16; 81; Finished; May  25, 2012 to May  22, 2019;['Comedy', 'Slice of Life'];['School'];['Shounen'];"
Shounen Sunday";"
Sakura, Jun (Story & Art)"; 31,065
310; 12; 101; Finished; Apr  28, 2014 to Feb  28, 2022;['Award Winning', 'Drama', 'Sci-Fi'];['School'];['Seinen'];"
Big Comic Spirits";"
Asano, Inio (Story & Art)"; 82,574
311; Unknown; Unknown; Publishing; Aug  18, 2018 to ?;['Fantasy', 'Girls Love'];['School'];;"
Comic Yuri Hime";"
Aono, Nachi (Story & Art)"; 14,886
312; Unknown; Unknown; Publishing; Sep  27, 2019 to ?;['Drama', 'Fantasy', 'Suspense'];['Isekai', 'Psychological', 'Time Travel'];['Seinen'];"
Comic Alive";"
Atori, Haruno (Art), Nagatsuki, Tappei (Story)"; 5,561
313; 27; 237; Finished; Mar  6, 2017 to Dec  25, 2023;['Adventure', 'Award Winning', 'Sci-Fi', 'Suspense'];['Survival'];['Shounen'];"
Shounen Jump (Weekly)";"
Inagaki, Riichiro (Story), Boichi (Art)"; 204,432
314; 10; 58; On Hiatus; Nov  5, 2016 to Jan  22, 2023;['Action', 'Fantasy'];['Adult Cast'];['Seinen'];"
Young Magazine (Monthly)";"
Satake, Kousuke (Story & Art)"; 21,527
315; Unknown; Unknown; Publishing; Jun  28, 2014 to ?;['Comedy', 'Slice of Life'];['Mahou Shoujo'];;"
Manga Time Kirara Carat";"
Ito, Izumo (Story & Art)"; 10,905
316; 11; 58; Finished; Sep  9, 2009 to May  9, 2014;['Drama', 'Romance'];['Psychological', 'School'];['Shounen'];"
Bessatsu Shounen Magazine";"
Oshimi, Shuuzou (Story & Art)"; 172,726
317; 13; 53; Finished; Apr  24, 2010 to May  23, 2015;['Award Winning', 'Drama', 'Romance'];;['Shoujo'];"
Dessert";"
Taamo (Story & Art)"; 96,862
318; 7; 86; Finished; Dec  9, 2004 to May  10, 2018;['Adventure', 'Fantasy'];;;"
Manga Time Kirara";"
Kiyuzuki, Satoko (Story & Art)"; 8,138
319; 10; 54; Finished; Apr  22, 2008 to Sep  21, 2013;['Horror', 'Mystery', 'Romance', 'Supernatural'];['School'];['Shounen'];"
Gangan Joker";"
Maybe (Story & Art)"; 49,527
320; Unknown; Unknown; Publishing; Aug  21, 2020 to ?;['Boys Love', 'Fantasy'];;;"
from RED";"
Yuno, Ichika (Story & Art)"; 4,552
321; 11; 98; Finished; May  7, 2018 to Sep  7, 2020;['Drama', 'Mystery', 'Suspense'];['Psychological'];['Seinen'];"
Comic Days";"
Inoryuu, Hajime (Story), Itou, Shouta (Art)"; 49,549
322; 18; 61; Finished; Dec  28, 1991 to Feb  3, 1997;['Award Winning', 'Drama', 'Fantasy', 'Romance'];['Mahou Shoujo'];['Shoujo'];"
Nakayoshi";"
Takeuchi, Naoko (Story & Art)"; 58,296
323; 11; 61; Finished; Aug  26, 1998 to May  25, 2011;['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance'];;['Shoujo'];"
Wings";"
Ozaki, Kaori (Story & Art)"; 20,711
324; 34; 338; Finished;  1992 to  1999;['Comedy', 'Drama', 'Romance', 'Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Sunday";"
Adachi, Mitsuru (Story & Art)"; 12,982
325; 36; 306; Finished; Jun  1991 to Feb  1, 2018;['Action', 'Drama'];['Adult Cast', 'Organized Crime', 'Psychological', 'Strategy Game'];;"
Kindai Mahjong";"
Fukumoto, Nobuyuki (Story & Art)"; 14,827
326; Unknown; Unknown; Publishing; Jan  25, 2003 to ?;['Action', 'Adventure', 'Award Winning'];['Historical'];['Seinen'];"
Afternoon";"
Iwaaki, Hitoshi (Story & Art)"; 27,012
327; Unknown; Unknown; Publishing; Mar  4, 2013 to ?;['Drama', 'Mystery', 'Supernatural'];;['Seinen'];"
Young Magazine (Weekly)";"
CLAMP (Story & Art)"; 14,739
328; 12; 86; Finished; May  20, 2011 to Nov  5, 2014;['Romance'];['Love Polygon', 'School'];['Shoujo'];"
Margaret";"
Yamamori, Mika (Story & Art)"; 95,960
329; 9; 99; Finished; Jan  31, 2013 to Apr  16, 2015;['Drama'];['Historical'];['Seinen'];"
Young Jump";"
Sakamoto, Shinichi (Story & Art)"; 65,679
330; Unknown; Unknown; Publishing; Jan  8, 2021 to ?;['Girls Love', 'Slice of Life'];;['Josei'];"
Comic it";"
Yuzaki, Sakaomi (Story & Art)"; 6,913
331; 19; 176; Finished; Nov  20, 1990 to Jul  12, 1994;['Action', 'Award Winning', 'Comedy', 'Drama', 'Supernatural'];;['Shounen'];"
Shounen Jump (Weekly)";"
Togashi, Yoshihiro (Story & Art)"; 75,585
332; 24; 75; Finished; Aug  19, 1995 to Jun  20, 2003;['Boys Love', 'Fantasy', 'Supernatural'];;['Shoujo'];"
Ichiraci";"
Sugiura, Shiho (Story & Art)"; 4,686
333; 17; 155; Finished; Nov  28, 1995 to Mar  23, 1999;['Action', 'Adventure'];['Organized Crime'];['Shounen'];"
Shounen Jump (Weekly)";"
Araki, Hirohiko (Story & Art)"; 116,937
334; 1; 9; Finished; Nov  21, 2015 to Jan  21, 2017;['Boys Love', 'Slice of Life'];['Childcare'];;"
RuTile";"
Mita, Ori (Story & Art)"; 15,820
335; 8; Unknown; Finished; Jan  30, 2018 to Dec  2, 2022;['Comedy', 'Slice of Life'];['Pets'];;"
twi4";"
Nitori, Sasami (Story & Art)"; 9,191
336; 20; 203; Finished; Aug  28, 2019 to Jan  24, 2024;['Award Winning', 'Romance', 'Supernatural'];['Vampire'];['Shounen'];"
Shounen Sunday";"
Kotoyama (Story & Art)"; 104,361
337; Unknown; Unknown; Publishing; Nov  21, 2020 to ?;['Action', 'Comedy'];;['Shounen'];"
Shounen Jump (Weekly)";"
Suzuki, Yuuto (Story & Art)"; 139,789
338; 18; 93; Finished; Sep  12, 2013 to Apr  22, 2021;['Comedy', 'Supernatural'];;;"
Gangan Online";"
Wazawa, Kiri (Story & Art)"; 13,775
339; 4; 28; Finished; Sep  25, 2014 to May  25, 2017;['Award Winning', 'Slice of Life'];;;"
Monthly Action";"
Tagame, Gengorou (Story & Art)"; 14,108
340; 11; 66; Finished; Aug  24, 2011 to Jun  24, 2016;['Comedy', 'Romance'];;['Shoujo'];"
LaLa";"
Amano, Shinobu (Story & Art)"; 103,242
341; 8; 35; Finished; Jun  22, 2008 to Apr  22, 2011;['Drama', 'Horror', 'Mystery'];['Psychological'];;"
Gangan Powered";"
Suzuragi, Karin (Art), Ryukishi07 (Story)"; 10,941
342; 3; 19; Finished; Jan  12, 1998 to Aug  30, 1999;['Drama', 'Horror', 'Supernatural'];;['Seinen'];"
Big Comic Spirits";"
Itou, Junji (Story & Art)"; 242,780
343; Unknown; Unknown; Publishing; Sep  25, 2003 to ?;['Award Winning', 'Comedy', 'Sports'];['Team Sports'];['Seinen'];"
Afternoon";"
Higuchi, Asa (Story & Art)"; 10,360
344; 1; 9; Finished; Oct  20, 2004 to Jun  28, 2007;['Action', 'Drama', 'Fantasy'];;['Shoujo'];"
Wings";"
Ozaki, Kaori (Story & Art)"; 6,356
345; 2; 8; Finished; Nov  28, 2013 to Jun  28, 2014;['Action'];;['Shoujo'];"
ARIA";"
Suruga, Hikaru (Art), Sunaaku, Gan (Story)"; 54,383
346; 22; 127; Finished; Dec  19, 2012 to Jan  19, 2023;['Comedy', 'Romance'];['Love Polygon', 'School'];['Seinen'];"
Sunday Gene-X";"
Watari, Wataru (Story), Io, Naomichi (Art)"; 10,549
347; Unknown; Unknown; Publishing; Feb  14, 2018 to ?;['Comedy', 'Romance'];;['Shounen'];"
Shounen Sunday";"
Hata, Kenjirou (Story & Art)"; 89,693
348; 4; 15; Finished; Mar  9, 2018 to Jun  29, 2023;['Action', 'Mystery', 'Supernatural'];['Detective'];;"
Young Ace UP";"
Ganjii (Art)"; 8,122
349; Unknown; Unknown; Publishing; Mar  7, 2019 to ?;['Romance'];['Video Game'];;"
Ganma!";"
Mashiro (Story & Art)"; 60,662
350; 16; 168; Finished; Apr  23, 2020 to Nov  14, 2024;['Drama', 'Supernatural'];['Reincarnation', 'Showbiz'];['Seinen'];"
Young Jump";"
Akasaka, Aka (Story), Yokoyari, Mengo (Art)"; 203,324
351; 8; 62; Finished; Sep  14, 2020 to Apr  18, 2022;['Award Winning', 'Drama'];['Historical'];['Seinen'];"
Big Comic Spirits";"
Uoto (Story & Art)"; 13,995
352; 1; 2; Finished; Nov  5, 2016;['Boys Love'];;;"
    None";"
Nakamura, Asumiko (Story & Art)"; 9,524
353; 3; 13; Finished; Apr  4, 2012 to Apr  4, 2013;['Drama'];;['Shounen'];"
Jump SQ.";"
Izumi, Mitsu (Art)"; 16,798
354; Unknown; Unknown; Publishing; May  26, 2012 to ?;['Action', 'Comedy', 'Fantasy'];['Mahou Shoujo'];;"
Comp Ace";"
Hiroyama, Hiroshi (Story & Art)"; 10,779
355; 3; 12; Finished; Jun  12, 2012 to Nov  12, 2012;['Drama', 'Horror'];['Mahou Shoujo', 'School'];['Seinen'];"
    None";"
Magica Quartet (Story), Hanokage (Art)"; 17,656
356; Unknown; Unknown; Publishing; Apr  6, 2012 to ?;['Comedy', 'Slice of Life'];['Pets'];['Shoujo'];"
Hana LaLa online";"
Yugi, Iro (Story & Art)"; 11,205
357; 30; 302; Finished; Apr  27, 2005 to Jun  13, 2012;['Award Winning', 'Comedy'];['Gag Humor', 'Parody', 'School'];['Shounen'];"
Shounen Magazine (Weekly)";"
Kumeta, Kouji (Story & Art)"; 32,992
358; 15; 162; Finished; Oct  14, 1980 to Apr  6, 1987;['Comedy', 'Drama', 'Romance'];['Adult Cast'];['Seinen'];"
Big Comic Spirits";"
Takahashi, Rumiko (Story & Art)"; 19,808
359; 10; 74; Finished; Aug  21, 2003 to Jul  27, 2010;['Action', 'Horror', 'Romance', 'Supernatural'];['Vampire'];;"
Dengeki Daioh";"
Type-Moon (Story), Nasu, Kinoko (Story), Sasaki, Shonen (Story & Art)"; 43,718
360; 12; 40; Finished; Mar  15, 2003 to Feb  14, 2013;['Adventure', 'Drama', 'Fantasy', 'Romance'];['Historical', 'Isekai', 'Magical Sex Shift'];['Shoujo'];"
Sho-Comi Zoukan";"
Watase, Yuu (Story & Art)"; 13,336
361; 20; 97; Finished; Mar  26, 2007 to Feb  26, 2014;['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi'];['School'];['Shounen'];"
Shounen Ace";"
Minazuki, Suu (Story & Art)"; 45,441
362; 32; 119; Finished; Feb  6, 2003 to Mar  6, 2013;['Award Winning', 'Comedy', 'Drama'];['Racing'];['Shounen'];"
Shounen Magazine (Monthly)";"
Soda, Masahito (Story & Art)"; 5,900
363; 18; 105; Finished; Oct  24, 2002 to Nov  24, 2012;['Action', 'Drama'];['Psychological', 'School'];['Seinen'];"
Afternoon";"
Takahashi, Tsutomu (Story & Art)"; 15,033
364; 11; 104; Finished; Jun  21, 2018 to Jan  7, 2021;['Comedy', 'Romance'];['Adult Cast', 'Workplace'];['Seinen'];"
Morning";"
Yamada, Kintetsu (Story & Art)"; 46,631
365; Unknown; Unknown; Publishing; Nov  28, 2017 to ?;['Award Winning', 'Mystery'];;['Josei'];"
Flowers (Monthly)";"
Tamura, Yumi (Story & Art)"; 12,464
366; Unknown; Unknown; Publishing; Feb  18, 2019 to ?;['Girls Love'];['School'];;"
Comic Yuri Hime";"
Takeshima, Eku (Story & Art)"; 39,066
367; 10; 79; Finished; Mar  25, 2019 to May  24, 2021;['Comedy', 'Slice of Life'];;['Seinen'];"
Big Comic Spirits";"
Yatera, Keita (Story & Art)"; 13,473
368; Unknown; Unknown; Publishing; Jul  15, 2020 to ?;['Action', 'Adventure', 'Award Winning', 'Fantasy'];['Video Game'];['Shounen'];"
Shounen Magazine (Weekly)";"
Fuji, Ryousuke (Art), Katarina (Story)"; 25,652
369; 16; 81; Finished; Jun  4, 2008 to Jul  4, 2013;['Comedy', 'Supernatural'];['Mythology'];['Shounen'];"
Jump SQ.";"
Sukeno, Yoshiaki (Story & Art)"; 20,610
370; 12; 111; Finished; May  5, 2014 to Dec  18, 2017;['Action', 'Fantasy'];;;"
Ura Sunday";"
Nanao, Nanaki (Story & Art)"; 43,313
371; 1; 6; Finished; Dec  21, 2013 to Aug  20, 2014;['Boys Love', 'Slice of Life'];['School'];;"
Canna";"
Fumino, Yuki (Story & Art)"; 34,664
372; 20; 181; Finished; Aug  1, 2016 to Jun  15, 2020;['Award Winning', 'Mystery', 'Suspense'];['Psychological', 'Survival'];['Shounen'];"
Shounen Jump (Weekly)";"
Demizu, Posuka (Art), Shirai, Kaiu (Story)"; 324,570
373; 21; 108; Finished; Dec  22, 1995 to May  10, 2005;['Comedy', 'Drama', 'Romance'];['School'];['Shoujo'];"
LaLa";"
Tsuda, Masami (Story & Art)"; 40,791
374; 10; 72; Finished; Dec  12, 2001 to Feb  12, 2008;['Award Winning', 'Romance', 'Slice of Life'];['Historical'];['Seinen'];"
Comic Beam";"
Mori, Kaoru (Story & Art)"; 30,704
375; 19; 124; Finished; Jul  19, 2001 to Jan  28, 2014;['Action', 'Drama', 'Sci-Fi'];['Martial Arts'];['Seinen'];"
Ultra Jump";"
Kishiro, Yukito (Story & Art)"; 26,189
376; 15; 88; Finished; Dec  4, 2004 to Aug  20, 2009;['Comedy', 'Romance', 'Slice of Life'];;['Shoujo'];"
Hana to Yume";"
Matsuzuki, Kou (Story & Art)"; 20,213
377; 25; 210; Finished; Nov  1, 2002 to Jan  28, 2011;['Award Winning', 'Drama'];['Medical', 'Psychological'];['Seinen'];"
Big Comic Superior";"
Nagai, Akira (Story), Nogizaka, Tarou (Art)"; 13,859
378; 7; 69; Finished; Oct  20, 1987 to Mar  14, 1989;['Action', 'Adventure'];['Historical', 'Vampire'];['Shounen'];"
Shounen Jump (Weekly)";"
Araki, Hirohiko (Story & Art)"; 112,156
379; 4; 36; Finished; Dec  22, 1982 to May  16, 1985;['Award Winning', 'Drama'];['Historical', 'Military'];;"
Shuukan Bunshun";"
Tezuka, Osamu (Story & Art)"; 25,773
380; 16; 130; Finished; Mar  30, 2005 to Oct  28, 2016;['Award Winning', 'Slice of Life'];;['Seinen'];"
Young King OURs";"
Ishiguro, Masakazu (Story & Art)"; 11,043
381; 17; 100; Finished; Dec  28, 2007 to May  20, 2016;['Action', 'Adventure', 'Fantasy'];['Historical', 'Mythology'];['Shounen'];"
Blade Online";"
Mizukami, Satoshi (Story & Art)"; 20,563
382; 17; 55; Finished; May  26, 1992 to May  26, 2001;['Award Winning', 'Boys Love', 'Drama'];['Psychological'];['Shoujo'];"
Petit Flower";"
Hagio, Moto (Story & Art)"; 10,723
383; 78; 747; Finished; Jul  13, 1994 to Jul  7, 2010;['Award Winning', 'Comedy', 'Drama', 'Sports'];['Team Sports'];['Shounen'];"
Shounen Sunday";"
Mitsuda, Takuya (Story & Art)"; 7,748
384; 11; 43; Finished; Oct  20, 2006 to Mar  20, 2012;['Supernatural'];['Detective'];['Shoujo'];"
Ichiraci";"
Kaji, Eiri (Story & Art)"; 11,374
385; 17; 103; Finished; Sep  24, 2004 to Mar  18, 2022;['Comedy', 'Drama', 'Romance', 'Slice of Life'];['School'];['Shounen'];"
GFantasy";"
Hotta, Kiichi (Story & Art)"; 11,911
386; Unknown; Unknown; Publishing; Jan  25, 2018 to ?;['Adventure', 'Mystery', 'Sci-Fi'];;['Seinen'];"
Afternoon";"
Ishiguro, Masakazu (Story & Art)"; 40,069
387; Unknown; Unknown; Publishing; Aug  17, 2018 to ?;['Girls Love'];;;"
MangaONE";"
Tamifull (Story & Art)"; 21,591
388; 1; 4; Finished; Jul  22, 2008 to Jan  20, 2009;['Slice of Life'];['Pets'];['Seinen'];"
Manga Action";"
Murakami, Takashi (Story & Art)"; 21,113
389; 11; 93; Finished; Apr  30, 2010 to May  30, 2018;['Romance', 'Slice of Life'];['School'];['Seinen'];"
Young King OURs";"
Miyahara, Ruri (Story & Art)"; 45,183
390; 23; 207; Finished; Feb  15, 2016 to May  18, 2020;['Action', 'Fantasy'];['Historical'];['Shounen'];"
Shounen Jump (Weekly)";"
Gotouge, Koyoharu (Story & Art)"; 472,910
391; 12; 63; Finished; Feb  7, 2013 to Dec  7, 2018;['Comedy', 'Gourmet', 'Slice of Life'];['Childcare', 'Iyashikei'];['Seinen'];"
good! Afternoon";"
Amagakure, Gido (Story & Art)"; 26,845
392; 8; 40; Finished; Dec  26, 2003 to Apr  26, 2007;['Comedy', 'Drama', 'Romance'];['Otaku Culture', 'Psychological'];['Shounen'];"
Shounen Ace";"
Ooiwa, Kenji (Art), Takimoto, Tatsuhiko (Story)"; 61,505
393; 8; 48; Finished; May  2, 2001 to Oct  4, 2003;['Boys Love', 'Horror', 'Mystery', 'Supernatural'];['Historical'];['Shoujo'];"
Hana to Yume";"
Yuki, Kaori (Story & Art)"; 20,657
394; 35; 193; Finished; Feb  26, 1985 to Nov  19, 1991;['Adventure', 'Comedy'];['Detective'];['Shounen'];"
Shounen Jump (Weekly)";"
Hojo, Tsukasa (Story & Art)"; 17,591
395; 9; 54; Finished; Feb  1, 2006 to Mar  5, 2009;['Comedy', 'Drama', 'Romance', 'Supernatural'];['Historical', 'Reincarnation'];['Shoujo'];"
Hana to Yume";"
Kusanagi, Mizuho (Story & Art)"; 12,527
396; 28; 250; Finished; Feb  23, 2009 to Mar  13, 2015;['Action', 'Comedy', 'Supernatural'];['Childcare', 'Delinquents', 'Mythology', 'School'];['Shounen'];"
Shounen Jump (Weekly)";"
Tamura, Ryuuhei (Story & Art)"; 119,354
397; Unknown; Unknown; Publishing; Apr  30, 2011 to ?;['Fantasy', 'Slice of Life'];['Iyashikei'];['Seinen'];"
Harta";"
Kashiki, Takuto (Story & Art)"; 9,498
398; 13; 53; Finished; Jan  13, 2011 to Feb  13, 2015;['Romance'];['School'];['Shoujo'];"
Bessatsu Margaret";"
Sakisaka, Io (Story & Art)"; 198,599
399; 11; 55; Finished; May  27, 2015 to Sep  27, 2019;['Drama', 'Fantasy', 'Suspense'];['Isekai', 'Psychological', 'Time Travel'];['Seinen'];"
Comic Alive";"
Matsuse, Daichi (Art), Nagatsuki, Tappei (Story)"; 12,944
