;Rank;Titulo;Calificacion;Link
0;1;Berserk;9.47;https://myanimelist.net/manga/2/Berserk
1;2;JoJo no Kimyou na Bouken Part 7: Steel Ball Run;9.32;https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run
2;3;Vagabond;9.27;https://myanimelist.net/manga/656/Vagabond
3;4;One Piece;9.22;https://myanimelist.net/manga/13/One_Piece
4;5;Monster;9.16;https://myanimelist.net/manga/1/Monster
5;6;Slam Dunk;9.08;https://myanimelist.net/manga/51/Slam_Dunk
6;7;Vinland Saga;9.08;https://myanimelist.net/manga/642/Vinland_Saga
7;8;Fullmetal Alchemist;9.04;https://myanimelist.net/manga/25/Fullmetal_Alchemist
8;9;Grand Blue;9.03;https://myanimelist.net/manga/70345/Grand_Blue
9;10;Kingdom;9.01;https://myanimelist.net/manga/16765/Kingdom
10;11;Oyasumi Punpun;8.99;https://myanimelist.net/manga/4632/Oyasumi_Punpun
11;12;Houseki no Kuni;8.97;https://myanimelist.net/manga/44489/Houseki_no_Kuni
12;13;Real;8.95;https://myanimelist.net/manga/657/Real
13;14;20th Century Boys;8.94;https://myanimelist.net/manga/3/20th_Century_Boys
14;15;Ashita no Joe;8.93;https://myanimelist.net/manga/1303/Ashita_no_Joe
15;16;Yotsuba to!;8.91;https://myanimelist.net/manga/104/Yotsuba_to
16;17;Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch;8.89;https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch
17;18;Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen;8.89;https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
18;19;GTO;8.87;https://myanimelist.net/manga/336/GTO
19;20;Haikyuu!!;8.86;https://myanimelist.net/manga/35243/Haikyuu
20;21;3-gatsu no Lion;8.85;https://myanimelist.net/manga/1224/3-gatsu_no_Lion
21;22;Sousou no Frieren;8.85;https://myanimelist.net/manga/126287/Sousou_no_Frieren
22;23;Koe no Katachi;8.85;https://myanimelist.net/manga/56805/Koe_no_Katachi
23;24;Akatsuki no Yona;8.82;https://myanimelist.net/manga/21525/Akatsuki_no_Yona
24;25;Kaoru Hana wa Rin to Saku;8.82;https://myanimelist.net/manga/144267/Kaoru_Hana_wa_Rin_to_Saku
25;26;Nana;8.81;https://myanimelist.net/manga/28/Nana
26;27;Kaze no Tani no Nausicaä;8.81;https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausicaä
27;28;Kokou no Hito;8.81;https://myanimelist.net/manga/7375/Kokou_no_Hito
28;29;Dungeon Meshi;8.77;https://myanimelist.net/manga/85781/Dungeon_Meshi
29;30;Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.;8.77;https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de
30;31;Hunter x Hunter;8.76;https://myanimelist.net/manga/26/Hunter_x_Hunter
31;32;Hajime no Ippo;8.74;https://myanimelist.net/manga/7/Hajime_no_Ippo
32;33;Uchuu Kyoudai;8.74;https://myanimelist.net/manga/14483/Uchuu_Kyoudai
33;34;Made in Abyss;8.73;https://myanimelist.net/manga/91941/Made_in_Abyss
34;35;Shoujo Shuumatsu Ryokou;8.72;https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou
35;36;One Punch-Man;8.72;https://myanimelist.net/manga/44347/One_Punch-Man
36;37;Veil;8.72;https://myanimelist.net/manga/132678/Veil
37;38;Kono Oto Tomare!;8.70;https://myanimelist.net/manga/45143/Kono_Oto_Tomare
38;39;Mushishi;8.70;https://myanimelist.net/manga/418/Mushishi
39;40;Death Note;8.69;https://myanimelist.net/manga/21/Death_Note
40;41;Beck;8.69;https://myanimelist.net/manga/145/Beck
41;42;Chainsaw Man;8.69;https://myanimelist.net/manga/116778/Chainsaw_Man
42;43;Medalist;8.68;https://myanimelist.net/manga/129621/Medalist
43;44;Dorohedoro;8.68;https://myanimelist.net/manga/1133/Dorohedoro
44;45;Akira;8.66;https://myanimelist.net/manga/664/Akira
45;46;Natsume Yuujinchou;8.66;https://myanimelist.net/manga/1859/Natsume_Yuujinchou
46;47;Tongari Boushi no Atelier;8.66;https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier
47;48;Kusuriya no Hitorigoto;8.66;https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto
48;49;Yagate Kimi ni Naru;8.65;https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru
49;50;Bungou Stray Dogs: Beast;8.65;https://myanimelist.net/manga/123006/Bungou_Stray_Dogs__Beast
50;51;Kimi to Tsuzuru Utakata;8.65;https://myanimelist.net/manga/128365/Kimi_to_Tsuzuru_Utakata
51;52;Yokohama Kaidashi Kikou;8.65;https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou
52;53;Gintama;8.64;https://myanimelist.net/manga/44/Gintama
53;54;Sayonara Eri;8.64;https://myanimelist.net/manga/145863/Sayonara_Eri
54;55;ReLIFE;8.63;https://myanimelist.net/manga/78523/ReLIFE
55;56;Golden Kamuy;8.63;https://myanimelist.net/manga/85968/Golden_Kamuy
56;57;Kozure Ookami;8.63;https://myanimelist.net/manga/904/Kozure_Ookami
57;58;Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch;8.63;https://myanimelist.net/manga/23900/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_7__Requiem_of_the_Golden_Witch
58;59;Ao Ashi;8.62;https://myanimelist.net/manga/102256/Ao_Ashi
59;60;Pluto;8.62;https://myanimelist.net/manga/745/Pluto
60;61;Aria;8.61;https://myanimelist.net/manga/81/Aria
61;62;Usogui;8.61;https://myanimelist.net/manga/9982/Usogui
62;63;Mob Psycho 100;8.61;https://myanimelist.net/manga/60783/Mob_Psycho_100
63;64;Blue Period;8.61;https://myanimelist.net/manga/107931/Blue_Period
64;65;Banana Fish;8.60;https://myanimelist.net/manga/756/Banana_Fish
65;66;Skip to Loafer;8.60;https://myanimelist.net/manga/118289/Skip_to_Loafer
66;67;Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka;8.59;https://myanimelist.net/manga/114043/Umarekawattemo_Mata_Watashi_to_Kekkon_shitekuremasu_ka
67;68;Shigatsu wa Kimi no Uso;8.59;https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso
68;69;Shinseiki Evangelion;8.58;https://myanimelist.net/manga/698/Shinseiki_Evangelion
69;70;Tobaku Datenroku Kaiji: One Poker-hen;8.58;https://myanimelist.net/manga/61579/Tobaku_Datenroku_Kaiji__One_Poker-hen
70;71;JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;8.57;https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
71;72;Chihayafuru;8.57;https://myanimelist.net/manga/13245/Chihayafuru
72;73;Pandora Hearts;8.56;https://myanimelist.net/manga/3031/Pandora_Hearts
73;74;Otoyomegatari;8.56;https://myanimelist.net/manga/11514/Otoyomegatari
74;75;Skip Beat!;8.55;https://myanimelist.net/manga/610/Skip_Beat
75;76;Billy Bat;8.55;https://myanimelist.net/manga/11054/Billy_Bat
76;77;Diamond no Ace Act II;8.55;https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II
77;78;Jibaku Shounen Hanako-kun;8.55;https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun
78;79;Shingeki no Kyojin;8.55;https://myanimelist.net/manga/23390/Shingeki_no_Kyojin
79;80;The Fable;8.55;https://myanimelist.net/manga/87844/The_Fable
80;81;Rurouni Kenshin: Meiji Kenkaku Romantan;8.54;https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
81;82;Hi no Tori (1967);8.54;https://myanimelist.net/manga/1325/Hi_no_Tori_1967
82;83;Kamisama Hajimemashita;8.54;https://myanimelist.net/manga/8157/Kamisama_Hajimemashita
83;84;Tokyo Ghoul;8.54;https://myanimelist.net/manga/33327/Tokyo_Ghoul
84;85;Sasaki to Miyano;8.53;https://myanimelist.net/manga/101396/Sasaki_to_Miyano
85;86;Fruits Basket;8.53;https://myanimelist.net/manga/102/Fruits_Basket
86;87;Ping Pong;8.53;https://myanimelist.net/manga/5744/Ping_Pong
87;88;One Outs;8.53;https://myanimelist.net/manga/11327/One_Outs
88;89;Hirayasumi;8.52;https://myanimelist.net/manga/137303/Hirayasumi
89;90;Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch;8.51;https://myanimelist.net/manga/21498/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_5__End_of_the_Golden_Witch
90;91;Kakukaku Shikajika;8.50;https://myanimelist.net/manga/44307/Kakukaku_Shikajika
91;92;Ouran Koukou Host Club;8.50;https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club
92;93;Kidou Senshi Gundam: The Origin;8.50;https://myanimelist.net/manga/214/Kidou_Senshi_Gundam__The_Origin
93;94;Watashitachi no Shiawase na Jikan;8.50;https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan
94;95;Given;8.49;https://myanimelist.net/manga/79085/Given
95;96;Blue Giant;8.49;https://myanimelist.net/manga/85719/Blue_Giant
96;97;Bakemonogatari;8.49;https://myanimelist.net/manga/113010/Bakemonogatari
97;98;Yubisaki to Renren;8.49;https://myanimelist.net/manga/121504/Yubisaki_to_Renren
98;99;Sakamichi no Apollon;8.49;https://myanimelist.net/manga/28393/Sakamichi_no_Apollon
99;100;Kimi no Suizou wo Tabetai;8.49;https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai
100;101;Spy x Family;8.48;https://myanimelist.net/manga/119161/Spy_x_Family
101;102;Bungou Stray Dogs;8.48;https://myanimelist.net/manga/56529/Bungou_Stray_Dogs
102;103;Spirit Circle;8.48;https://myanimelist.net/manga/38071/Spirit_Circle
103;104;JoJo no Kimyou na Bouken Part 8: JoJolion;8.47;https://myanimelist.net/manga/25515/JoJo_no_Kimyou_na_Bouken_Part_8__JoJolion
104;105;Chikan Otoko;8.47;https://myanimelist.net/manga/46282/Chikan_Otoko
105;106;Blue Lock;8.47;https://myanimelist.net/manga/114745/Blue_Lock
106;107;Shimeji Simulation;8.47;https://myanimelist.net/manga/117851/Shimeji_Simulation
107;108;Vanitas no Karte;8.47;https://myanimelist.net/manga/93753/Vanitas_no_Karte
108;109;Ohayou, Ibarahime;8.47;https://myanimelist.net/manga/88639/Ohayou_Ibarahime
109;110;blanc;8.46;https://myanimelist.net/manga/112988/blanc
110;111;Hinamatsuri;8.46;https://myanimelist.net/manga/36413/Hinamatsuri
111;112;Shimanami Tasogare;8.46;https://myanimelist.net/manga/97244/Shimanami_Tasogare
112;113;Eyeshield 21;8.46;https://myanimelist.net/manga/43/Eyeshield_21
113;114;Cross Game;8.46;https://myanimelist.net/manga/1183/Cross_Game
114;115;Kami nomi zo Shiru Sekai;8.46;https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai
115;116;Dandadan;8.45;https://myanimelist.net/manga/135496/Dandadan
116;117;Ookami to Koushinryou;8.45;https://myanimelist.net/manga/3299/Ookami_to_Koushinryou
117;118;Rainbow: Nisha Rokubou no Shichinin;8.45;https://myanimelist.net/manga/7482/Rainbow__Nisha_Rokubou_no_Shichinin
118;119;Yuukoku no Moriarty;8.45;https://myanimelist.net/manga/100323/Yuukoku_no_Moriarty
119;120;Uma Musume Cinderella Gray;8.44;https://myanimelist.net/manga/133431/Uma_Musume_Cinderella_Gray
120;121;Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch;8.44;https://myanimelist.net/manga/21499/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_6__Dawn_of_the_Golden_Witch
121;122;Kininatteru Hito ga Otoko ja Nakatta;8.44;https://myanimelist.net/manga/155861/Kininatteru_Hito_ga_Otoko_ja_Nakatta
122;123;Dragon Ball;8.44;https://myanimelist.net/manga/42/Dragon_Ball
123;124;Doraemon;8.44;https://myanimelist.net/manga/1032/Doraemon
124;125;Holyland;8.44;https://myanimelist.net/manga/3285/Holyland
125;126;Kyou kara Ore wa!!;8.44;https://myanimelist.net/manga/6812/Kyou_kara_Ore_wa
126;127;21st Century Boys;8.43;https://myanimelist.net/manga/743/21st_Century_Boys
127;128;Glass no Kamen;8.43;https://myanimelist.net/manga/1469/Glass_no_Kamen
128;129;Barakamon;8.43;https://myanimelist.net/manga/17051/Barakamon
129;130;Hirano to Kagiura;8.43;https://myanimelist.net/manga/119279/Hirano_to_Kagiura
130;131;Gekkan Shoujo Nozaki-kun;8.43;https://myanimelist.net/manga/29211/Gekkan_Shoujo_Nozaki-kun
131;132;Shiori Experience: Jimi na Watashi to Hen na Ojisan;8.42;https://myanimelist.net/manga/87397/Shiori_Experience__Jimi_na_Watashi_to_Hen_na_Ojisan
132;133;Mayonaka Heart Tune;8.42;https://myanimelist.net/manga/162964/Mayonaka_Heart_Tune
133;134;Tobaku Mokushiroku Kaiji;8.42;https://myanimelist.net/manga/3572/Tobaku_Mokushiroku_Kaiji
134;135;Mugen no Juunin;8.41;https://myanimelist.net/manga/658/Mugen_no_Juunin
135;136;Kuroshitsuji;8.41;https://myanimelist.net/manga/3866/Kuroshitsuji
136;137;Horimiya;8.41;https://myanimelist.net/manga/42451/Horimiya
137;138;Look Back;8.41;https://myanimelist.net/manga/138673/Look_Back
138;139;Nodame Cantabile;8.40;https://myanimelist.net/manga/419/Nodame_Cantabile
139;140;Basara;8.40;https://myanimelist.net/manga/974/Basara
140;141;Tobaku Hakairoku Kaiji;8.40;https://myanimelist.net/manga/3573/Tobaku_Hakairoku_Kaiji
141;142;Yuru Camp△;8.40;https://myanimelist.net/manga/94376/Yuru_Camp△
142;143;Toshokan no Daimajutsushi;8.40;https://myanimelist.net/manga/110771/Toshokan_no_Daimajutsushi
143;144;Kimi wa Houkago Insomnia;8.40;https://myanimelist.net/manga/121213/Kimi_wa_Houkago_Insomnia
144;145;Ikoku Nikki;8.39;https://myanimelist.net/manga/118804/Ikoku_Nikki
145;146;Onanie Master Kurosawa;8.39;https://myanimelist.net/manga/8967/Onanie_Master_Kurosawa
146;147;Innocent Rouge;8.39;https://myanimelist.net/manga/93699/Innocent_Rouge
147;148;Kimi no Na wa.;8.39;https://myanimelist.net/manga/99314/Kimi_no_Na_wa
148;149;Amayo no Tsuki;8.38;https://myanimelist.net/manga/142310/Amayo_no_Tsuki
149;150;Gunnm;8.38;https://myanimelist.net/manga/768/Gunnm
150;151;Kaichou wa Maid-sama!;8.38;https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama
151;152;Nichijou;8.38;https://myanimelist.net/manga/3082/Nichijou
152;153;My Girl;8.38;https://myanimelist.net/manga/6164/My_Girl
153;154;Imawa no Kuni no Alice;8.38;https://myanimelist.net/manga/33031/Imawa_no_Kuni_no_Alice
154;155;Tomodachi Game;8.37;https://myanimelist.net/manga/62795/Tomodachi_Game
155;156;Tensei shitara Slime Datta Ken;8.37;https://myanimelist.net/manga/87609/Tensei_shitara_Slime_Datta_Ken
156;157;Mata, Onaji Yume wo Miteita;8.37;https://myanimelist.net/manga/110160/Mata_Onaji_Yume_wo_Miteita
157;158;xxxHOLiC;8.37;https://myanimelist.net/manga/10/xxxHOLiC
158;159;Azumanga Daioh;8.37;https://myanimelist.net/manga/85/Azumanga_Daioh
159;160;Cardcaptor Sakura;8.37;https://myanimelist.net/manga/106/Cardcaptor_Sakura
160;161;Kiseijuu;8.37;https://myanimelist.net/manga/401/Kiseijuu
161;162;SKET Dance;8.37;https://myanimelist.net/manga/1414/SKET_Dance
162;163;Bakuman.;8.37;https://myanimelist.net/manga/9711/Bakuman
163;164;Love Bullet;8.37;https://myanimelist.net/manga/166372/Love_Bullet
164;165;Shadows House;8.36;https://myanimelist.net/manga/115730/Shadows_House
165;166;Haruka Tooki Ie;8.36;https://myanimelist.net/manga/136103/Haruka_Tooki_Ie
166;167;Noragami;8.36;https://myanimelist.net/manga/24692/Noragami
167;168;Boku dake ga Inai Machi;8.36;https://myanimelist.net/manga/39325/Boku_dake_ga_Inai_Machi
168;169;Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch;8.36;https://myanimelist.net/manga/16081/Umineko_no_Naku_Koro_ni_-_Episode_3__Banquet_of_the_Golden_Witch
169;170;Kimi no Yoru ni Fureru;8.36;https://myanimelist.net/manga/144011/Kimi_no_Yoru_ni_Fureru
170;171;Wotaku ni Koi wa Muzukashii;8.35;https://myanimelist.net/manga/89087/Wotaku_ni_Koi_wa_Muzukashii
171;172;Ballroom e Youkoso;8.35;https://myanimelist.net/manga/48347/Ballroom_e_Youkoso
172;173;Gochuumon wa Usagi desu ka?;8.35;https://myanimelist.net/manga/49835/Gochuumon_wa_Usagi_desu_ka
173;174;Kieta Hatsukoi;8.35;https://myanimelist.net/manga/122906/Kieta_Hatsukoi
174;175;Bungou Stray Dogs: Dazai, Chuuya, Juugosai;8.35;https://myanimelist.net/manga/152024/Bungou_Stray_Dogs__Dazai_Chuuya_Juugosai
175;176;Versailles no Bara;8.35;https://myanimelist.net/manga/660/Versailles_no_Bara
176;177;Konjiki no Gash!!;8.35;https://myanimelist.net/manga/869/Konjiki_no_Gash
177;178;Kanata kara;8.34;https://myanimelist.net/manga/923/Kanata_kara
178;179;Homunculus;8.34;https://myanimelist.net/manga/936/Homunculus
179;180;Hadashi no Gen;8.34;https://myanimelist.net/manga/3281/Hadashi_no_Gen
180;181;Ten: Tenhou-doori no Kaidanji;8.34;https://myanimelist.net/manga/3571/Ten__Tenhou-doori_no_Kaidanji
181;182;Mairimashita! Iruma-kun;8.34;https://myanimelist.net/manga/104241/Mairimashita_Iruma-kun
182;183;Gin no Saji;8.33;https://myanimelist.net/manga/25096/Gin_no_Saji
183;184;Youjo Senki;8.33;https://myanimelist.net/manga/98436/Youjo_Senki
184;185;Mahoutsukai no Yome;8.33;https://myanimelist.net/manga/61189/Mahoutsukai_no_Yome
185;186;JoJo no Kimyou na Bouken Part 9: The JoJoLands;8.32;https://myanimelist.net/manga/139629/JoJo_no_Kimyou_na_Bouken_Part_9__The_JoJoLands
186;187;Sensou Kyoushitsu;8.32;https://myanimelist.net/manga/147585/Sensou_Kyoushitsu
187;188;Houkago Kitaku Biyori;8.32;https://myanimelist.net/manga/165876/Houkago_Kitaku_Biyori
188;189;Lovely★Complex;8.32;https://myanimelist.net/manga/31/Lovely★Complex
189;190;Gakuen Alice;8.32;https://myanimelist.net/manga/320/Gakuen_Alice
190;191;Full Metal Panic! Sigma;8.32;https://myanimelist.net/manga/895/Full_Metal_Panic_Sigma
191;192;Piano no Mori;8.32;https://myanimelist.net/manga/2895/Piano_no_Mori
192;193;Machida-kun no Sekai;8.32;https://myanimelist.net/manga/58141/Machida-kun_no_Sekai
193;194;Totsukuni no Shoujo;8.32;https://myanimelist.net/manga/93972/Totsukuni_no_Shoujo
194;195;Blue Giant Supreme;8.32;https://myanimelist.net/manga/100922/Blue_Giant_Supreme
195;196;Tsuihou sareru Tabi ni Skill wo Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou;8.31;https://myanimelist.net/manga/156681/Tsuihou_sareru_Tabi_ni_Skill_wo_Te_ni_Ireta_Ore_ga_100_no_Isekai_de_2-shuume_Musou
196;197;Teito Seihai Kitan: Fate/type Redline;8.31;https://myanimelist.net/manga/123444/Teito_Seihai_Kitan__Fate_type_Redline
197;198;Mushishi Tokubetsu-hen: Hihamukage;8.31;https://myanimelist.net/manga/62023/Mushishi_Tokubetsu-hen__Hihamukage
198;199;Tokyo Ghoul:re;8.31;https://myanimelist.net/manga/81117/Tokyo_Ghoul_re
199;200;Saiki Kusuo no Ψ-nan;8.31;https://myanimelist.net/manga/37755/Saiki_Kusuo_no_Ψ-nan
200;201;Ookami Kodomo no Ame to Yuki;8.31;https://myanimelist.net/manga/40761/Ookami_Kodomo_no_Ame_to_Yuki
201;202;Mars;8.31;https://myanimelist.net/manga/443/Mars
202;203;Shin Angyo Onshi;8.31;https://myanimelist.net/manga/736/Shin_Angyo_Onshi
203;204;Touch;8.31;https://myanimelist.net/manga/1013/Touch
204;205;Saikyou Densetsu Kurosawa;8.31;https://myanimelist.net/manga/3575/Saikyou_Densetsu_Kurosawa
205;206;Hoshi no Samidare;8.31;https://myanimelist.net/manga/10552/Hoshi_no_Samidare
206;207;Daichouhen Doraemon;8.31;https://myanimelist.net/manga/12471/Daichouhen_Doraemon
