;Rank;Titulo;Calificacion;Link
207;208;Black Jack;8.30;https://myanimelist.net/manga/1600/Black_Jack
208;209;Kimi ni Todoke;8.30;https://myanimelist.net/manga/3378/Kimi_ni_Todoke
209;210;Takemitsuzamurai;8.30;https://myanimelist.net/manga/15306/Takemitsuzamurai
210;211;Bocchi the Rock!;8.30;https://myanimelist.net/manga/118568/Bocchi_the_Rock
211;212;Ao no Hako;8.30;https://myanimelist.net/manga/135545/Ao_no_Hako
212;213;Ojisama to Neko;8.29;https://myanimelist.net/manga/112774/Ojisama_to_Neko
213;214;Tsubasa: RESERVoir CHRoNiCLE;8.29;https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE
214;215;Kodomo no Omocha;8.29;https://myanimelist.net/manga/18/Kodomo_no_Omocha
215;216;Paradise Kiss;8.29;https://myanimelist.net/manga/29/Paradise_Kiss
216;217;Blame!;8.29;https://myanimelist.net/manga/149/Blame
217;218;Black Lagoon;8.29;https://myanimelist.net/manga/735/Black_Lagoon
218;219;Doukyuusei;8.29;https://myanimelist.net/manga/9699/Doukyuusei
219;220;Love So Life;8.29;https://myanimelist.net/manga/14236/Love_So_Life
220;221;Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch;8.29;https://myanimelist.net/manga/16144/Umineko_no_Naku_Koro_ni_-_Episode_4__Alliance_of_the_Golden_Witch
221;222;Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu;8.29;https://myanimelist.net/manga/148542/Akuyaku_Reijou_no_Naka_no_Hito__Danzai_sareta_Tenseisha_no_Tame_Usotsuki_Heroine_ni_Fukushuu_Itashimasu
222;223;Canis Series;8.29;https://myanimelist.net/manga/57791/Canis_Series
223;224;Harukaze no Étranger;8.29;https://myanimelist.net/manga/77609/Harukaze_no_Étranger
224;225;Chichi to Hige-Gorilla to Watashi;8.28;https://myanimelist.net/manga/84983/Chichi_to_Hige-Gorilla_to_Watashi
225;226;Fumetsu no Anata e;8.28;https://myanimelist.net/manga/102343/Fumetsu_no_Anata_e
226;227;Koko wa Ima kara Rinri desu.;8.28;https://myanimelist.net/manga/106809/Koko_wa_Ima_kara_Rinri_desu
227;228;Shouwa Genroku Rakugo Shinjuu;8.28;https://myanimelist.net/manga/26704/Shouwa_Genroku_Rakugo_Shinjuu
228;229;Orange;8.28;https://myanimelist.net/manga/35573/Orange
229;230;D.Gray-man;8.28;https://myanimelist.net/manga/24/DGray-man
230;231;Sora wa Akai Kawa no Hotori;8.28;https://myanimelist.net/manga/79/Sora_wa_Akai_Kawa_no_Hotori
231;232;Hellsing;8.28;https://myanimelist.net/manga/267/Hellsing
232;233;Claymore;8.28;https://myanimelist.net/manga/583/Claymore
233;234;Tokyo Crazy Paradise;8.28;https://myanimelist.net/manga/762/Tokyo_Crazy_Paradise
234;235;Angel Densetsu;8.28;https://myanimelist.net/manga/838/Angel_Densetsu
235;236;Meitantei Conan;8.28;https://myanimelist.net/manga/1061/Meitantei_Conan
236;237;Buddha;8.28;https://myanimelist.net/manga/1111/Buddha
237;238;Higurashi no Naku Koro ni Kai: Meakashi-hen;8.28;https://myanimelist.net/manga/1262/Higurashi_no_Naku_Koro_ni_Kai__Meakashi-hen
238;239;Komatta Toki ni wa Hoshi ni Kike;8.28;https://myanimelist.net/manga/2459/Komatta_Toki_ni_wa_Hoshi_ni_Kike
239;240;Hana to Akuma;8.28;https://myanimelist.net/manga/6520/Hana_to_Akuma
240;241;Higurashi no Naku Koro ni Kai: Minagoroshi-hen;8.28;https://myanimelist.net/manga/9548/Higurashi_no_Naku_Koro_ni_Kai__Minagoroshi-hen
241;242;Gakuen Babysitters;8.28;https://myanimelist.net/manga/16922/Gakuen_Babysitters
242;243;Hanazakari no Kimitachi e;8.27;https://myanimelist.net/manga/57/Hanazakari_no_Kimitachi_e
243;244;Trigun Maximum;8.27;https://myanimelist.net/manga/704/Trigun_Maximum
244;245;Saint Seiya: The Lost Canvas - Meiou Shinwa;8.27;https://myanimelist.net/manga/1047/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa
245;246;Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen;8.27;https://myanimelist.net/manga/1263/Higurashi_no_Naku_Koro_ni_Kai__Tsumihoroboshi-hen
246;247;Sakamichi no Apollon: Bonus Track;8.27;https://myanimelist.net/manga/47022/Sakamichi_no_Apollon__Bonus_Track
247;248;Bungou Stray Dogs Wan!;8.27;https://myanimelist.net/manga/98379/Bungou_Stray_Dogs_Wan
248;249;Dengeki Daisy;8.26;https://myanimelist.net/manga/5255/Dengeki_Daisy
249;250;Magi;8.26;https://myanimelist.net/manga/14790/Magi
250;251;Kengan Ashura;8.26;https://myanimelist.net/manga/72025/Kengan_Ashura
251;252;Yomawari Sensei;8.26;https://myanimelist.net/manga/17910/Yomawari_Sensei
252;253;Yuki no Yousei;8.26;https://myanimelist.net/manga/145496/Yuki_no_Yousei
253;254;Mairimashita! Iruma-kun: If Episode of Mafia;8.26;https://myanimelist.net/manga/162733/Mairimashita_Iruma-kun__If_Episode_of_Mafia
254;255;Boy Meets Maria;8.26;https://myanimelist.net/manga/119392/Boy_Meets_Maria
255;256;Boku no Kokoro no Yabai Yatsu;8.25;https://myanimelist.net/manga/112807/Boku_no_Kokoro_no_Yabai_Yatsu
256;257;Kage no Jitsuryokusha ni Naritakute!;8.25;https://myanimelist.net/manga/119022/Kage_no_Jitsuryokusha_ni_Naritakute
257;258;Hachimitsu to Clover;8.25;https://myanimelist.net/manga/1009/Hachimitsu_to_Clover
258;259;Saiyuuki Gaiden;8.25;https://myanimelist.net/manga/1097/Saiyuuki_Gaiden
259;260;Liar Game;8.25;https://myanimelist.net/manga/1649/Liar_Game
260;261;Hikari to Tomo ni...: Jiheishouji wo Kakaete;8.25;https://myanimelist.net/manga/4258/Hikari_to_Tomo_ni__Jiheishouji_wo_Kakaete
261;262;Kiichi VS;8.25;https://myanimelist.net/manga/15547/Kiichi_VS
262;263;Kishuku Gakkou no Juliet;8.25;https://myanimelist.net/manga/91514/Kishuku_Gakkou_no_Juliet
263;264;Kuragehime;8.25;https://myanimelist.net/manga/17904/Kuragehime
264;265;Sunny;8.24;https://myanimelist.net/manga/23571/Sunny
265;266;Ansatsu Kyoushitsu;8.24;https://myanimelist.net/manga/39883/Ansatsu_Kyoushitsu
266;267;Initial D;8.24;https://myanimelist.net/manga/375/Initial_D
267;268;Planetes;8.24;https://myanimelist.net/manga/481/Planetes
268;269;JoJo no Kimyou na Bouken Part 6: Stone Ocean;8.24;https://myanimelist.net/manga/3009/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean
269;270;Kamigami no Itadaki;8.24;https://myanimelist.net/manga/4625/Kamigami_no_Itadaki
270;271;Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun;8.24;https://myanimelist.net/manga/7776/Toaru_Majutsu_no_Index_Gaiden__Toaru_Kagaku_no_Railgun
271;272;Jujutsu Kaisen;8.24;https://myanimelist.net/manga/113138/Jujutsu_Kaisen
272;273;Taishou Otome Otogibanashi;8.24;https://myanimelist.net/manga/96044/Taishou_Otome_Otogibanashi
273;274;Kaichou wa Maid-sama!: Marriage;8.24;https://myanimelist.net/manga/103989/Kaichou_wa_Maid-sama__Marriage
274;275;Hikaru ga Shinda Natsu;8.24;https://myanimelist.net/manga/141833/Hikaru_ga_Shinda_Natsu
275;276;Petshop of Horrors;8.23;https://myanimelist.net/manga/128/Petshop_of_Horrors
276;277;Shonan Junai Gumi!;8.23;https://myanimelist.net/manga/445/Shonan_Junai_Gumi
277;278;Rookies;8.23;https://myanimelist.net/manga/915/Rookies
278;279;Diamond no Ace;8.23;https://myanimelist.net/manga/10884/Diamond_no_Ace
279;280;Yuru Yuri;8.23;https://myanimelist.net/manga/11593/Yuru_Yuri
280;281;No.6;8.23;https://myanimelist.net/manga/24308/No6
281;282;Danshi Koukousei no Nichijou;8.23;https://myanimelist.net/manga/26144/Danshi_Koukousei_no_Nichijou
282;283;"Steins;Gate: Aishin Meizu no Babel";8.23;https://myanimelist.net/manga/47825/Steins_Gate__Aishin_Meizu_no_Babel
283;284;Koimonogatari;8.23;https://myanimelist.net/manga/92252/Koimonogatari
284;285;Beastars;8.23;https://myanimelist.net/manga/103701/Beastars
285;286;Hidamari ga Kikoeru: Limit;8.23;https://myanimelist.net/manga/112091/Hidamari_ga_Kikoeru__Limit
286;287;Act-age;8.23;https://myanimelist.net/manga/112115/Act-age
287;288;Summertime Render;8.22;https://myanimelist.net/manga/110031/Summertime_Render
288;289;Jigokuraku;8.22;https://myanimelist.net/manga/112318/Jigokuraku
289;290;Ghost Hunt;8.22;https://myanimelist.net/manga/158/Ghost_Hunt
290;291;Akagami no Shirayuki-hime;8.22;https://myanimelist.net/manga/4571/Akagami_no_Shirayuki-hime
291;292;Crows;8.22;https://myanimelist.net/manga/5651/Crows
292;293;GTO: Shonan 14 Days;8.22;https://myanimelist.net/manga/14531/GTO__Shonan_14_Days
293;294;Private Opinion: Banana Fish Another Story;8.22;https://myanimelist.net/manga/16593/Private_Opinion__Banana_Fish_Another_Story
294;295;Non Non Biyori;8.22;https://myanimelist.net/manga/17552/Non_Non_Biyori
295;296;"Steins;Gate 0";8.22;https://myanimelist.net/manga/107548/Steins_Gate_0
296;297;Tadaima, Okaeri;8.21;https://myanimelist.net/manga/103063/Tadaima_Okaeri
297;298;Boku ga Otto ni Deau made;8.21;https://myanimelist.net/manga/132962/Boku_ga_Otto_ni_Deau_made
298;299;Genshiken;8.21;https://myanimelist.net/manga/348/Genshiken
299;300;Saiyuuki Reload;8.21;https://myanimelist.net/manga/510/Saiyuuki_Reload
300;301;Hourou Musuko;8.21;https://myanimelist.net/manga/585/Hourou_Musuko
301;302;Eden: It's an Endless World!;8.21;https://myanimelist.net/manga/731/Eden__Its_an_Endless_World
302;303;7 Seeds;8.21;https://myanimelist.net/manga/1075/7_Seeds
303;304;Silver Diamond;8.21;https://myanimelist.net/manga/1208/Silver_Diamond
304;305;Sanctuary;8.21;https://myanimelist.net/manga/1461/Sanctuary
305;306;Cat Street;8.21;https://myanimelist.net/manga/1802/Cat_Street
306;307;Solanin;8.21;https://myanimelist.net/manga/3731/Solanin
307;308;Getter Robo Saga;8.21;https://myanimelist.net/manga/18074/Getter_Robo_Saga
308;309;Tsurezure Children;8.21;https://myanimelist.net/manga/58027/Tsurezure_Children
309;310;Yugami-kun ni wa Tomodachi ga Inai;8.21;https://myanimelist.net/manga/62547/Yugami-kun_ni_wa_Tomodachi_ga_Inai
310;311;Dead Dead Demons Dededede Destruction;8.20;https://myanimelist.net/manga/70801/Dead_Dead_Demons_Dededede_Destruction
311;312;Kimi ga Shinu made Koi wo Shitai;8.20;https://myanimelist.net/manga/115122/Kimi_ga_Shinu_made_Koi_wo_Shitai
312;313;Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo;8.20;https://myanimelist.net/manga/124470/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-4_Shou_-_Seiiki_to_Gouyoku_no_Majo
313;314;Dr. Stone;8.20;https://myanimelist.net/manga/103897/Dr_Stone
314;315;Majo to Yajuu;8.20;https://myanimelist.net/manga/106204/Majo_to_Yajuu
315;316;Machikado Mazoku;8.20;https://myanimelist.net/manga/108566/Machikado_Mazoku
316;317;Aku no Hana;8.20;https://myanimelist.net/manga/24705/Aku_no_Hana
317;318;Taiyou no Ie;8.20;https://myanimelist.net/manga/26736/Taiyou_no_Ie
318;319;Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa;8.20;https://myanimelist.net/manga/4453/Hitsugikatsugi_no_Kuro__Kaichu_Tabi_no_Wa
319;320;Tasogare Otome x Amnesia;8.20;https://myanimelist.net/manga/15805/Tasogare_Otome_x_Amnesia
320;321;Yoake no Uta;8.20;https://myanimelist.net/manga/140409/Yoake_no_Uta
321;322;Shinai naru Boku e Satsui wo Komete;8.19;https://myanimelist.net/manga/115746/Shinai_naru_Boku_e_Satsui_wo_Komete
322;323;Bishoujo Senshi Sailor Moon;8.19;https://myanimelist.net/manga/92/Bishoujo_Senshi_Sailor_Moon
323;324;Meteor Methuselah;8.19;https://myanimelist.net/manga/373/Meteor_Methuselah
324;325;H2;8.19;https://myanimelist.net/manga/1014/H2
325;326;Akagi: Yami ni Oritatta Tensai;8.19;https://myanimelist.net/manga/1218/Akagi__Yami_ni_Oritatta_Tensai
326;327;Historie;8.19;https://myanimelist.net/manga/2924/Historie
327;328;xxxHOLiC: Rei;8.19;https://myanimelist.net/manga/46010/xxxHOLiC__Rei
328;329;Hirunaka no Ryuusei;8.18;https://myanimelist.net/manga/27231/Hirunaka_no_Ryuusei
329;330;Innocent;8.18;https://myanimelist.net/manga/58563/Innocent
330;331;Tsukuritai Onna to Tabetai Onna;8.18;https://myanimelist.net/manga/140295/Tsukuritai_Onna_to_Tabetai_Onna
331;332;Yuu☆Yuu☆Hakusho;8.18;https://myanimelist.net/manga/53/Yuu☆Yuu☆Hakusho
332;333;Koori no Mamono no Monogatari;8.18;https://myanimelist.net/manga/1982/Koori_no_Mamono_no_Monogatari
333;334;JoJo no Kimyou na Bouken Part 5: Ougon no Kaze;8.18;https://myanimelist.net/manga/3008/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
334;335;Bokura no Shokutaku;8.18;https://myanimelist.net/manga/104491/Bokura_no_Shokutaku
335;336;Fushigi Neko no Kyuu-chan;8.18;https://myanimelist.net/manga/112694/Fushigi_Neko_no_Kyuu-chan
336;337;Yofukashi no Uta;8.17;https://myanimelist.net/manga/121480/Yofukashi_no_Uta
337;338;Sakamoto Days;8.17;https://myanimelist.net/manga/131334/Sakamoto_Days
338;339;Fukigen na Mononokean;8.17;https://myanimelist.net/manga/67401/Fukigen_na_Mononokean
339;340;Otouto no Otto;8.17;https://myanimelist.net/manga/80375/Otouto_no_Otto
340;341;Last Game;8.17;https://myanimelist.net/manga/30315/Last_Game
341;342;Higurashi no Naku Koro ni Kai: Matsuribayashi-hen;8.17;https://myanimelist.net/manga/9738/Higurashi_no_Naku_Koro_ni_Kai__Matsuribayashi-hen
342;343;Uzumaki;8.16;https://myanimelist.net/manga/436/Uzumaki
343;344;Ookiku Furikabutte;8.16;https://myanimelist.net/manga/994/Ookiku_Furikabutte
344;345;Touhou Shinigami: Meteor Methuselah Gaiden;8.16;https://myanimelist.net/manga/10865/Touhou_Shinigami__Meteor_Methuselah_Gaiden
345;346;Shingeki no Kyojin: Kuinaki Sentaku;8.16;https://myanimelist.net/manga/58007/Shingeki_no_Kyojin__Kuinaki_Sentaku
346;347;Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic;8.16;https://myanimelist.net/manga/80091/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_comic
347;348;Tonikaku Kawaii;8.16;https://myanimelist.net/manga/112589/Tonikaku_Kawaii
348;349;Bungou Stray Dogs: Dead Apple;8.16;https://myanimelist.net/manga/113163/Bungou_Stray_Dogs__Dead_Apple
349;350;Yamada-kun to Lv999 no Koi wo Suru;8.16;https://myanimelist.net/manga/125052/Yamada-kun_to_Lv999_no_Koi_wo_Suru
350;351;[Oshi no Ko];8.16;https://myanimelist.net/manga/126146/Oshi_no_Ko
351;352;Chi. Chikyuu no Undou ni Tsuite;8.16;https://myanimelist.net/manga/137939/Chi_Chikyuu_no_Undou_ni_Tsuite
352;353;Doukyuusei: Gold Ring & Silver Ring;8.16;https://myanimelist.net/manga/102703/Doukyuusei__Gold_Ring___Silver_Ring
353;354;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;8.15;https://myanimelist.net/manga/35733/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
354;355;Fate/kaleid liner Prisma☆Illya 3rei!!;8.15;https://myanimelist.net/manga/36131/Fate_kaleid_liner_Prisma☆Illya_3rei
355;356;Mahou Shoujo Madoka★Magica: The Different Story;8.15;https://myanimelist.net/manga/44319/Mahou_Shoujo_Madoka★Magica__The_Different_Story
356;357;Nukozuke!;8.15;https://myanimelist.net/manga/45947/Nukozuke
357;358;Sayonara Zetsubou Sensei;8.15;https://myanimelist.net/manga/661/Sayonara_Zetsubou_Sensei
358;359;Maison Ikkoku;8.15;https://myanimelist.net/manga/688/Maison_Ikkoku
359;360;Shingetsutan Tsukihime;8.15;https://myanimelist.net/manga/705/Shingetsutan_Tsukihime
360;361;Fushigi Yuugi: Genbu Kaiden;8.15;https://myanimelist.net/manga/929/Fushigi_Yuugi__Genbu_Kaiden
361;362;Sora no Otoshimono;8.15;https://myanimelist.net/manga/8144/Sora_no_Otoshimono
362;363;Capeta;8.15;https://myanimelist.net/manga/9546/Capeta
363;364;Bakuon Rettou;8.15;https://myanimelist.net/manga/10443/Bakuon_Rettou
364;365;Ase to Sekken;8.15;https://myanimelist.net/manga/117840/Ase_to_Sekken
365;366;Mystery to Iu nakare;8.14;https://myanimelist.net/manga/111229/Mystery_to_Iu_nakare
366;367;Sasayaku You ni Koi wo Utau;8.14;https://myanimelist.net/manga/118625/Sasayaku_You_ni_Koi_wo_Utau
367;368;Ponkotsu Ponko;8.14;https://myanimelist.net/manga/120250/Ponkotsu_Ponko
368;369;Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su;8.14;https://myanimelist.net/manga/130331/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su
369;370;Binbougami ga!;8.14;https://myanimelist.net/manga/20242/Binbougami_ga
370;371;Helck;8.14;https://myanimelist.net/manga/77637/Helck
371;372;Hidamari ga Kikoeru;8.14;https://myanimelist.net/manga/84255/Hidamari_ga_Kikoeru
372;373;Yakusoku no Neverland;8.14;https://myanimelist.net/manga/100128/Yakusoku_no_Neverland
373;374;Kareshi Kanojo no Jijou;8.14;https://myanimelist.net/manga/17/Kareshi_Kanojo_no_Jijou
374;375;Emma;8.14;https://myanimelist.net/manga/729/Emma
375;376;Gunnm: Last Order;8.14;https://myanimelist.net/manga/770/Gunnm__Last_Order
376;377;Shiawase Kissa 3-choume;8.14;https://myanimelist.net/manga/1110/Shiawase_Kissa_3-choume
377;378;Iryuu: Team Medical Dragon;8.14;https://myanimelist.net/manga/1297/Iryuu__Team_Medical_Dragon
378;379;JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu;8.14;https://myanimelist.net/manga/1630/JoJo_no_Kimyou_na_Bouken_Part_2__Sentou_Chouryuu
379;380;Adolf ni Tsugu;8.14;https://myanimelist.net/manga/1695/Adolf_ni_Tsugu
380;381;Soredemo Machi wa Mawatteiru;8.14;https://myanimelist.net/manga/3042/Soredemo_Machi_wa_Mawatteiru
381;382;Sengoku Youko;8.14;https://myanimelist.net/manga/8070/Sengoku_Youko
382;383;Zankoku na Kami ga Shihai suru;8.14;https://myanimelist.net/manga/8652/Zankoku_na_Kami_ga_Shihai_suru
383;384;Major;8.14;https://myanimelist.net/manga/10978/Major
384;385;Keishichou Tokuhanka 007;8.14;https://myanimelist.net/manga/11850/Keishichou_Tokuhanka_007
385;386;Kimi to Boku.;8.13;https://myanimelist.net/manga/8557/Kimi_to_Boku
386;387;Tengoku Daimakyou;8.13;https://myanimelist.net/manga/111745/Tengoku_Daimakyou
387;388;Tsukiatte Agetemo Ii kana;8.13;https://myanimelist.net/manga/117020/Tsukiatte_Agetemo_Ii_kana
388;389;Hoshi Mamoru Inu;8.13;https://myanimelist.net/manga/21467/Hoshi_Mamoru_Inu
389;390;Bokura wa Minna Kawai-sou;8.13;https://myanimelist.net/manga/26769/Bokura_wa_Minna_Kawai-sou
390;391;Kimetsu no Yaiba;8.13;https://myanimelist.net/manga/96792/Kimetsu_no_Yaiba
391;392;Amaama to Inazuma;8.13;https://myanimelist.net/manga/63535/Amaama_to_Inazuma
392;393;NHK ni Youkoso!;8.12;https://myanimelist.net/manga/463/NHK_ni_Youkoso
393;394;God Child;8.12;https://myanimelist.net/manga/635/God_Child
394;395;City Hunter;8.12;https://myanimelist.net/manga/792/City_Hunter
395;396;NG Life;8.12;https://myanimelist.net/manga/7010/NG_Life
396;397;Beelzebub;8.12;https://myanimelist.net/manga/10010/Beelzebub
397;398;Hakumei to Mikochi;8.12;https://myanimelist.net/manga/80841/Hakumei_to_Mikochi
398;399;Ao Haru Ride;8.12;https://myanimelist.net/manga/24294/Ao_Haru_Ride
399;400;Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero;8.12;https://myanimelist.net/manga/89960/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-3_Shou_-_Truth_of_Zero
